,Дата,Место сбора,"Сод. Cl соед., мг/дм3"
0,2024-03-01 00:30:00,АСН-2,30.4
1,2024-03-01 01:00:00,ЭДГ1/2,42.6
2,2024-03-01 01:00:00,КСУ,452.1
3,2024-03-01 04:00:00,ЭДГ1/1,48.5
4,2024-03-01 04:00:00,КСУ,406.9
5,2024-03-01 05:00:00,БМ,11240.2
6,2024-03-01 07:00:00,ЭДГ1/2,52.7
7,2024-03-01 07:00:00,КСУ,269.5
8,2024-03-01 07:05:00,АСН -1,57.4
9,2024-03-01 10:00:00,ЭДГ1/1,45.7
10,2024-03-01 10:00:00,КСУ,433.6
11,2024-03-01 11:40:00,АСН-2,24.6
12,2024-03-01 13:00:00,ЭДГ1/2,58.6
13,2024-03-01 13:30:00,АСН-1,41.0
14,2024-03-01 16:00:00,ЭДГ1/1,87.9
15,2024-03-01 16:00:00,КСУ,281.2
16,2024-03-01 19:00:00,ЭДГ1/2,34.8
17,2024-03-01 19:00:00,КСУ,301.5
18,2024-03-02 01:00:00,ЭДГ1/2,35.5
19,2024-03-02 04:00:00,ЭДГ1/1,60.9
20,2024-03-02 05:00:00,БМ,9708.0
21,2024-03-02 07:00:00,ЭДГ1/2,41.0
22,2024-03-02 07:00:00,АСН-1,34.0
23,2024-03-02 10:00:00,ЭДГ1/1,36.3
24,2024-03-02 13:00:00,ЭДГ1/2,21.1
25,2024-03-02 13:10:00,АСН-1,30.5
26,2024-03-02 16:00:00,ЭДГ1/1,37.5
27,2024-03-02 19:00:00,ЭДГ1/2,77.4
28,2024-03-02 21:00:00,БМ СУТ,21678.3
29,2024-03-02 22:00:00,ЭДГ1/1,68.1
30,2024-03-02 22:00:00,АСН 1-8,42.8
31,2024-03-03 01:00:00,ЭДГ1/2,51.2
32,2024-03-03 04:00:00,ЭДГ1/1,34.8
33,2024-03-03 05:00:00,БМ,19652.3
34,2024-03-03 07:00:00,ЭДГ1/2,34.0
35,2024-03-03 07:05:00,АСН-1,30.5
36,2024-03-03 10:00:00,ЭДГ1/1,25.8
37,2024-03-03 13:00:00,ЭДГ1/2,25.8
38,2024-03-03 13:00:00,АСН-1,32.8
39,2024-03-03 16:00:00,ЭДГ1/1,27.0
40,2024-03-03 19:00:00,ЭДГ1/2,35.6
41,2024-03-03 21:00:00,БМ СУТ,16802.1
42,2024-03-03 22:00:00,ЭДГ1/1,36.9
43,2024-03-03 22:00:00,АСН 1-8,24.0
44,2024-03-04 01:00:00,ЭДГ1/2,41.0
45,2024-03-04 04:00:00,ЭДГ1/1,37.5
46,2024-03-04 05:00:00,БМ,11718.0
47,2024-03-04 07:00:00,ЭДГ1/2,23.4
48,2024-03-04 07:10:00,АСН-2,24.6
49,2024-03-04 10:00:00,ЭДГ1/1,29.3
50,2024-03-04 12:50:00,АСН-2,28.1
51,2024-03-04 13:00:00,ЭДГ1/1,24.6
52,2024-03-04 16:00:00,ЭДГ1/1,28.1
53,2024-03-04 19:00:00,ЭДГ1/2,25.5
54,2024-03-04 21:00:00,БМ СУТ,9852.2
55,2024-03-04 22:00:00,ЭДГ1/1,28.1
56,2024-03-04 22:00:00,АСН 1-8,22.8
57,2024-03-05 01:00:00,ЭДГ1/2,28.6
58,2024-03-05 04:00:00,ЭДГ1/1,36.6
59,2024-03-05 05:00:00,БМ,15685.0
60,2024-03-05 07:00:00,ЭДГ1/2,21.1
61,2024-03-05 07:10:00,АСН-2,28.1
62,2024-03-05 10:00:00,ЭДГ1/1,38.7
63,2024-03-05 12:50:00,АСН-1,27.0
64,2024-03-05 13:00:00,ЭДГ1/2,21.7
65,2024-03-05 16:00:00,ЭДГ1/1,29.3
66,2024-03-05 19:00:00,ЭДГ1/2,32.2
67,2024-03-05 21:00:00,БМ СУТ,11254.8
68,2024-03-05 22:00:00,ЭДГ1/1,31.0
69,2024-03-05 22:00:00,АСН 1-8,29.0
70,2024-03-06 01:00:00,ЭДГ1/2,32.5
71,2024-03-06 04:00:00,ЭДГ1/1,41.5
72,2024-03-06 05:00:00,БМ,12458.6
73,2024-03-06 07:00:00,ЭДГ1/2,56.2
74,2024-03-06 07:10:00,АСН-1,28.1
75,2024-03-06 12:50:00,АСН-2,75.0
76,2024-03-06 16:00:00,ЭДГ1/1,117.2
77,2024-03-06 16:30:00,АСН-1,60.9
78,2024-03-06 19:00:00,ЭДГ1/2,128.9
79,2024-03-06 19:40:00,АСН-1,83.2
80,2024-03-06 21:00:00,БМ СУТ,12458.3
81,2024-03-06 22:00:00,ЭДГ1/1,70.1
82,2024-03-06 22:00:00,АСН 1-8,76.2
83,2024-03-06 23:00:00,ЭДГ1/1,107.6
84,2024-03-07 01:00:00,ЭДГ1/1,87.9
85,2024-03-07 02:00:00,ЭДГ1/2,112.9
86,2024-03-07 02:10:00,АСН-3,70.3
87,2024-03-07 04:00:00,ЭДГ1/2,89.7
88,2024-03-07 05:00:00,ЭДГ1/2,80.6
89,2024-03-07 05:00:00,БМ,12345.8
90,2024-03-07 07:00:00,ЭДГ1/2,59.8
91,2024-03-07 09:20:00,АСН-2,98.7
92,2024-03-07 10:00:00,ЭДГ1/1,38.9
93,2024-03-07 11:05:00,АСН-2,80.7
94,2024-03-07 11:35:00,АСН-1,71.7
95,2024-03-07 13:00:00,ЭДГ1/2,47.8
96,2024-03-07 14:40:00,АСН-2,71.6
97,2024-03-07 16:00:00,ЭДГ1/1,53.8
98,2024-03-07 16:50:00,АСН-1,74.7
99,2024-03-08 01:00:00,ЭДГ1/2,82.1
100,2024-03-08 04:00:00,ЭДГ1/1,75.2
101,2024-03-08 05:00:00,БМ,14115.4
102,2024-03-08 07:00:00,ЭДГ1/2,88.1
103,2024-03-08 10:00:00,ЭДГ1/1,85.5
104,2024-03-08 16:00:00,ЭДГ1/1,89.7
105,2024-03-08 19:00:00,ЭДГ1/1,98.7
106,2024-03-08 20:00:00,ЭДГ1/1,89.7
107,2024-03-08 21:00:00,БМ,14947.5
108,2024-03-08 22:00:00,ЭДГ1/1,65.8
109,2024-03-08 22:00:00,ЭДГ1/2,77.7
110,2024-03-08 22:00:00,АСН 1-8,68.8
111,2024-03-09 01:00:00,ЭДГ1/1,77.7
112,2024-03-09 01:00:00,АСН-1,56.8
113,2024-03-09 04:00:00,ЭДГ1/1,71.7
114,2024-03-09 05:00:00,БМ,15545.4
115,2024-03-09 07:00:00,ЭДГ1/2,85.4
116,2024-03-09 10:00:00,ЭДГ1/1,87.8
117,2024-03-09 13:00:00,ЭДГ1/1,43.1
118,2024-03-09 13:00:00,ЭДГ1/2,52.6
119,2024-03-09 16:00:00,ЭДГ1/2,46.6
120,2024-03-09 19:00:00,ЭДГ1/1,39.5
121,2024-03-09 19:00:00,ЭДГ1/2,44.8
122,2024-03-09 21:00:00,БМ СУТ,9755.1
123,2024-03-09 22:00:00,ЭДГ1/1,47.5
124,2024-03-09 22:00:00,АСН 1-8,34.3
125,2024-03-10 01:00:00,ЭДГ1/2,44.8
126,2024-03-10 01:00:00,АСН-1,44.8
127,2024-03-10 04:00:00,ЭДГ1/1,44.8
128,2024-03-10 05:00:00,БМ,8436.8
129,2024-03-10 07:00:00,ЭДГ1/2,41.9
130,2024-03-10 10:00:00,ЭДГ1/1,41.1
131,2024-03-10 13:00:00,ЭДГ1/1,33.2
132,2024-03-10 17:00:00,ЭДГ1/1,26.9
133,2024-03-10 19:00:00,ЭДГ1/2,34.9
134,2024-03-10 21:00:00,БМ СУТ,10740.0
135,2024-03-10 22:00:00,ЭДГ1/1,32.2
136,2024-03-10 22:00:00,АСН 1-8,48.3
137,2024-03-11 01:00:00,ЭДГ1/2,31.0
138,2024-03-11 01:00:00,АСН-1,28.2
139,2024-03-11 04:00:00,ЭДГ1/1,39.4
140,2024-03-11 05:00:00,БМ,7883.4
141,2024-03-11 07:00:00,ЭДГ1/2,29.3
142,2024-03-11 10:00:00,ЭДГ1/1,30.4
143,2024-03-11 13:00:00,ЭДГ1/2,36.0
144,2024-03-11 16:00:00,ЭДГ1/1,33.8
145,2024-03-11 19:00:00,ЭДГ1/2,59.1
146,2024-03-11 21:00:00,БМ СУТ,5631.0
147,2024-03-11 22:00:00,ЭДГ1/1,67.6
148,2024-03-11 22:00:00,АСН 1-8,36.6
149,2024-03-11 00:00:00,АСН-3,39.4
150,2024-03-12 01:00:00,ЭДГ1/2,47.9
151,2024-03-12 03:30:00,АСН-1,56.3
152,2024-03-12 04:00:00,ЭДГ1/1,31.0
153,2024-03-12 05:00:00,БМ,12388.2
154,2024-03-12 07:00:00,ЭДГ1/2,59.7
155,2024-03-12 10:00:00,ЭДГ1/1,35.3
156,2024-03-12 13:00:00,ЭДГ1/2,21.5
157,2024-03-12 16:00:00,ЭДГ1/1,23.9
158,2024-03-12 19:00:00,ЭДГ1/2,23.9
159,2024-03-12 21:00:00,БМ СУТ,12252.9
160,2024-03-12 22:00:00,ЭДГ1/1,23.9
161,2024-03-12 22:00:00,АСН 1-8,35.9
162,2024-03-13 01:00:00,ЭДГ1/2,44.9
163,2024-03-13 01:00:00,АСН-1,29.9
164,2024-03-13 04:00:00,ЭДГ1/1,35.9
165,2024-03-13 05:00:00,БМ,9264.6
166,2024-03-13 07:00:00,ЭДГ1/2,22.1
167,2024-03-13 10:00:00,ЭДГ1/1,32.9
168,2024-03-13 13:00:00,ЭДГ1/2,24.0
169,2024-03-13 16:00:00,ЭДГ1/1,30.5
170,2024-03-13 19:00:00,ЭДГ1/2,38.9
171,2024-03-13 20:40:00,ЭДГ1/1,170.3
172,2024-03-13 20:40:00,ЭДГ1/2,125.5
173,2024-03-13 22:50:00,АСН-2,47.8
174,2024-03-13 21:00:00,БМ СУТ,12551.7
175,2024-03-13 22:00:00,ЭДГ1/1,149.9
176,2024-03-13 22:00:00,ЭДГ1/2,131.5
177,2024-03-13 22:00:00,АСН 1-8,44.8
178,2024-03-13 22:30:00,АСН-1,65.7
179,2024-03-13 00:00:00,ЭДГ1/1,83.7
180,2024-03-14 00:35:00,АСН-3,77.7
181,2024-03-14 02:00:00,ЭДГ1/1,29.9
182,2024-03-14 02:00:00,ЭДГ1/2,41.8
183,2024-03-14 04:00:00,ЭДГ1/1,47.8
184,2024-03-14 04:00:00,ЭДГ1/2,65.7
185,2024-03-14 05:00:00,БМ,13149.4
186,2024-03-14 07:00:00,ЭДГ1/2,22.7
187,2024-03-14 07:30:00,АСН-1,26.3
188,2024-03-14 10:00:00,ЭДГ1/1,20.3
189,2024-03-14 13:00:00,ЭДГ1/2,23.3
190,2024-03-14 16:00:00,ЭДГ1/1,23.9
191,2024-03-14 19:00:00,ЭДГ1/2,35.9
192,2024-03-14 21:00:00,БМ СУТ,17931.0
193,2024-03-14 22:00:00,ЭДГ1/1,29.9
194,2024-03-14 22:00:00,АСН 1-8,47.8
195,2024-03-15 01:00:00,АСН-1,89.7
196,2024-03-15 02:00:00,ЭДГ1/1,257.0
197,2024-03-15 02:00:00,ЭДГ1/2,334.7
198,2024-03-15 02:30:00,АСН-1,95.7
199,2024-03-15 03:00:00,ЭДГ1/1,304.8
200,2024-03-15 03:00:00,ЭДГ1/2,257.0
201,2024-03-15 04:00:00,АСН-1,83.7
202,2024-03-15 05:00:00,БМ,21517.2
203,2024-03-15 07:00:00,ЭДГ1/1,332.3
204,2024-03-15 07:00:00,ЭДГ1/2,316.8
205,2024-03-15 09:00:00,ЭДГ1/1,131.5
206,2024-03-15 09:00:00,ЭДГ1/2,155.4
207,2024-03-15 13:00:00,ЭДГ1/1,113.6
208,2024-03-15 13:00:00,ЭДГ1/2,119.5
209,2024-03-15 14:10:00,АСН-1,76.5
210,2024-03-15 15:00:00,ЭДГ1/1,107.6
211,2024-03-15 15:00:00,ЭДГ1/2,113.6
212,2024-03-15 16:00:00,АСН-1,88.5
213,2024-03-15 17:00:00,ЭДГ1/1,86.1
214,2024-03-15 17:00:00,ЭДГ1/2,93.2
215,2024-03-15 19:00:00,ЭДГ1/1,50.8
216,2024-03-15 19:00:00,ЭДГ1/2,59.8
217,2024-03-15 20:00:00,АСН-1,41.8
218,2024-03-15 21:00:00,ЭДГ1/1,44.8
219,2024-03-15 21:00:00,ЭДГ1/2,56.8
220,2024-03-15 21:00:00,БМ сут,11954.0
221,2024-03-16 01:00:00,ЭДГ1/1,29.9
222,2024-03-16 01:00:00,ЭДГ1/2,38.9
223,2024-03-16 01:00:00,АСН-2,35.9
224,2024-03-16 04:00:00,ЭДГ1/1,32.9
225,2024-03-16 05:00:00,БМ,14344.8
226,2024-03-16 07:00:00,ЭДГ1/2,23.3
227,2024-03-16 10:00:00,ЭДГ1/1,22.7
228,2024-03-16 13:00:00,ЭДГ1/2,35.7
229,2024-03-16 16:00:00,ЭДГ1/1,22.5
230,2024-03-16 19:00:00,ЭДГ1/2,29.9
231,2024-03-16 21:00:00,БМ СУТ,7471.3
232,2024-03-16 22:00:00,ЭДГ1/1,23.9
233,2024-03-16 22:00:00,АСН 1-8,35.9
234,2024-03-17 01:00:00,ЭДГ1/2,41.8
235,2024-03-17 01:00:00,АСН-2,41.8
236,2024-03-17 04:00:00,ЭДГ1/1,41.8
237,2024-03-17 04:00:00,ЭДГ1/2,29.9
238,2024-03-17 05:00:00,БМ,5977.0
239,2024-03-17 07:00:00,ЭДГ1/2,30.8
240,2024-03-17 07:50:00,АСН-1,24.9
241,2024-03-17 10:00:00,ЭДГ1/1,46.2
242,2024-03-17 13:00:00,ЭДГ1/2,36.7
243,2024-03-17 16:00:00,ЭДГ1/1,23.7
244,2024-03-17 19:00:00,ЭДГ1/2,29.9
245,2024-03-17 21:00:00,БМ СУТ,12252.9
246,2024-03-17 22:00:00,ЭДГ1/1,59.8
247,2024-03-17 22:00:00,АСН 1-8,41.8
248,2024-03-18 01:00:00,ЭДГ1/2,53.8
249,2024-03-18 01:00:00,АСН-2,44.8
250,2024-03-18 04:00:00,ЭДГ1/1,47.8
251,2024-03-18 05:00:00,БМ,10758.6
252,2024-03-18 07:00:00,ЭДГ1/2,20.7
253,2024-03-18 10:00:00,ЭДГ1/1,36.1
254,2024-03-18 13:00:00,ЭДГ1/2,21.9
255,2024-03-18 13:35:00,АСН-1,23.7
256,2024-03-18 16:00:00,ЭДГ1/1,21.3
257,2024-03-18 19:00:00,ЭДГ1/2,29.9
258,2024-03-18 21:00:00,БМ СУТ,11954.0
259,2024-03-18 22:00:00,ЭДГ1/1,35.9
260,2024-03-18 22:00:00,АСН 1-8,47.8
261,2024-03-19 01:00:00,ЭДГ1/2,35.9
262,2024-03-19 01:00:00,АСН-2,41.8
263,2024-03-19 04:00:00,ЭДГ1/1,29.9
264,2024-03-19 05:00:00,БМ,10758.6
265,2024-03-19 06:50:00,АСН-1,21.3
266,2024-03-19 07:00:00,ЭДГ1/2,23.1
267,2024-03-19 10:00:00,ЭДГ1/1,27.2
268,2024-03-19 13:00:00,ЭДГ1/2,21.9
269,2024-03-19 13:00:00,ЭДГ1/2,23.1
270,2024-03-19 19:00:00,ЭДГ1/2,20.9
271,2024-03-19 21:00:00,БМ СУТ,9264.4
272,2024-03-19 22:00:00,ЭДГ1/1,38.9
273,2024-03-19 22:00:00,АСН 1-8,65.7
274,2024-03-20 01:00:00,ЭДГ1/2,23.9
275,2024-03-20 01:00:00,АСН-2,35.9
276,2024-03-20 04:00:00,ЭДГ1/1,47.8
277,2024-03-20 05:00:00,БМ,11353.3
278,2024-03-20 07:00:00,ЭДГ1/2,21.9
279,2024-03-20 10:00:00,ЭДГ1/1,20.7
280,2024-03-20 10:30:00,АСН-1,22.5
281,2024-03-20 13:00:00,ЭДГ1/2,21.3
282,2024-03-20 16:00:00,ЭДГ1/1,23.1
283,2024-03-20 18:00:00,ЭДГ1/1,53.8
284,2024-03-20 18:00:00,ЭДГ1/2,47.8
285,2024-03-20 20:00:00,ЭДГ1/1,35.9
286,2024-03-20 20:00:00,ЭДГ1/2,38.9
287,2024-03-20 21:00:00,БМ,11057.5
288,2024-03-20 22:00:00,ЭДГ1/1,35.9
289,2024-03-20 22:00:00,ЭДГ1/2,65.7
290,2024-03-20 22:00:00,АСН 1-8,59.8
291,2024-03-20 00:00:00,ЭДГ1/1,50.8
292,2024-03-20 00:00:00,ЭДГ1/2,44.8
293,2024-03-21 01:00:00,АСН-2,50.8
294,2024-03-21 02:00:00,ЭДГ1/1,44.8
295,2024-03-21 02:00:00,ЭДГ1/2,47.8
296,2024-03-21 04:00:00,ЭДГ1/1,25.9
297,2024-03-21 04:00:00,ЭДГ1/2,35.9
298,2024-03-21 05:00:00,БМ,8666.7
299,2024-03-21 06:00:00,ЭДГ1/1,23.7
300,2024-03-21 06:00:00,ЭДГ1/2,26.0
301,2024-03-21 08:00:00,ЭДГ1/1,27.2
302,2024-03-21 08:00:00,ЭДГ1/2,27.8
303,2024-03-21 08:45:00,АСН-1,27.2
304,2024-03-21 10:00:00,ЭДГ1/1,23.1
305,2024-03-21 10:00:00,ЭДГ1/2,23.7
306,2024-03-21 12:00:00,ЭДГ1/1,22.5
307,2024-03-21 12:00:00,ЭДГ1/2,21.9
308,2024-03-21 14:00:00,ЭДГ1/1,33.1
309,2024-03-21 14:00:00,ЭДГ1/2,42.6
310,2024-03-21 16:00:00,ЭДГ1/1,29.6
311,2024-03-21 16:00:00,ЭДГ1/2,30.2
312,2024-03-21 18:00:00,ЭДГ1/1,47.8
313,2024-03-21 18:00:00,ЭДГ1/2,44.8
314,2024-03-21 20:00:00,ЭДГ1/1,38.9
315,2024-03-21 20:00:00,ЭДГ1/2,35.9
316,2024-03-21 21:00:00,БМ,13149.4
317,2024-03-21 22:00:00,ЭДГ1/1,38.9
318,2024-03-21 22:00:00,ЭДГ1/2,50.8
319,2024-03-22 00:00:00,ЭДГ1/1,41.8
320,2024-03-22 00:00:00,ЭДГ1/2,47.8
321,2024-03-22 01:00:00,АСН-1,38.9
322,2024-03-22 02:00:00,ЭДГ1/1,44.8
323,2024-03-22 02:00:00,ЭДГ1/2,41.8
324,2024-03-22 04:00:00,ЭДГ1/1,56.8
325,2024-03-22 04:00:00,ЭДГ1/2,47.8
326,2024-03-22 05:00:00,БМ,8367.8
327,2024-03-22 06:00:00,ЭДГ1/1,33.1
328,2024-03-22 06:00:00,ЭДГ1/2,30.8
329,2024-03-22 08:00:00,ЭДГ1/1,34.9
330,2024-03-22 08:00:00,ЭДГ1/2,32.5
331,2024-03-22 10:00:00,ЭДГ1/1,38.5
332,2024-03-22 10:00:00,ЭДГ1/2,35.5
333,2024-03-22 12:00:00,ЭДГ1/1,28.4
334,2024-03-22 12:00:00,ЭДГ1/2,34.3
335,2024-03-22 13:00:00,ЭДГ1/1,36.1
336,2024-03-22 13:00:00,ЭДГ1/2,33.7
337,2024-03-22 16:00:00,ЭДГ1/1,39.7
338,2024-03-22 19:00:00,ЭДГ1/2,50.8
339,2024-03-22 21:00:00,БМ сут,11954.0
340,2024-03-22 22:00:00,ЭДГ1/1,59.8
341,2024-03-22 22:00:00,АСН 1-8,53.8
342,2024-03-23 01:00:00,ЭДГ1/2,44.8
343,2024-03-23 01:00:00,АСН-3,35.9
344,2024-03-23 04:00:00,ЭДГ1/1,62.8
345,2024-03-23 07:00:00,ЭДГ1/2,41.4
346,2024-03-23 10:00:00,ЭДГ1/1,34.8
347,2024-03-23 13:00:00,ЭДГ1/2,50.9
348,2024-03-23 16:00:00,ЭДГ1/1,21.6
349,2024-03-23 17:00:00,БМ,10354.1
350,2024-03-23 19:00:00,ЭДГ1/2,59.2
351,2024-03-23 21:00:00,БМ сут,16570.4
352,2024-03-23 22:00:00,ЭДГ1/1,66.3
353,2024-03-23 22:00:00,АСН 1-8,30.8
354,2024-03-24 01:00:00,ЭДГ1/2,45.0
355,2024-03-24 01:05:00,АСН-1,33.1
356,2024-03-24 04:00:00,ЭДГ1/1,30.8
357,2024-03-24 05:00:00,БМ,17432.4
358,2024-03-24 07:00:00,ЭДГ1/2,23.6
359,2024-03-24 10:00:00,ЭДГ1/1,39.1
360,2024-03-24 13:00:00,ЭДГ1/2,82.8
361,2024-03-24 16:00:00,ЭДГ1/1,56.8
362,2024-03-24 17:00:00,БМ,19123.4
363,2024-03-24 19:00:00,ЭДГ1/2,52.1
